seller_id,region
229c3efbfb0ea2058de4ccdfbc3d784a,Toscana
620c87c171fb2a6dd6e8bb4dec959fc6,Piemonte
cca3071e3e9bb7d12640c9fbe2301306,Lazio
8c16d1f32a54d92897cc437244442e1b,Abruzzo
cab85505710c7cb9b720bceb52b01cee,Lazio
ecccfa2bb93b34a3bf033cc5d1dcdc69,Liguria
b1fecf4da1fa2689bccffa0121953643,Campania
391fc6631aebcf3004804e51b40bcf1e,Lazio
ce27a3cc3c8cc1ea79d11e561e9bebb6,Lazio
f67efa3f0b6761102a7f8c6b7b571f5d,Liguria
0cbcee27c791afa0cdcb08587a2013a8,Toscana
ecccfa2bb93b34a3bf033cc5d1dcdc69,Liguria
ed859002ad59dbf8cf3602696a6c3000,Liguria
cca3071e3e9bb7d12640c9fbe2301306,Lazio
cca3071e3e9bb7d12640c9fbe2301306,Lazio
d101c6da914ae3d53f7bee42283f2fe2,Lazio
0db783cfcd3b73998abc6e10e59a102f,Lazio
a7f13822ceb966b076af67121f87b063,Lazio
ecccfa2bb93b34a3bf033cc5d1dcdc69,Liguria
f67efa3f0b6761102a7f8c6b7b571f5d,Liguria
ecccfa2bb93b34a3bf033cc5d1dcdc69,Liguria
5b179e9e8cc7ab6fd113a46ca584da81,Lazio
a7f13822ceb966b076af67121f87b063,Lazio
7008613ea464bad5cb9b83456e1e6a8f,Abruzzo
2138ccb85b11a4ec1e37afbd1c8eda1f,Lazio
cca3071e3e9bb7d12640c9fbe2301306,Lazio
ce27a3cc3c8cc1ea79d11e561e9bebb6,Lazio
620c87c171fb2a6dd6e8bb4dec959fc6,Piemonte
a3a38f4affed601eb87a97788c949667,Abruzzo
89bc797e2e29667aa035d4368f9b7f92,Lazio
440dd6ab244315c632130ecfb63827b1,Lazio
710e3548e02bc1d2831dfc4f1b5b14d4,Liguria
01cf7e3d21494c41fb86034f2e714fa1,Liguria
ed49da7cadefc454d6a67de249eab240,Lazio
c43d924a0f1688ee9fae0efcd6f539d4,Piemonte
024b564ae893ce8e9bfa02c10a401ece,Lazio
4b1eaadf791bdbbad8c4a35b65236d52,Lazio
5206cc4bc2297c833e6061c49bf9c43f,Lazio
46dc3b2cc0980fb8ec44634e21d2718e,Piemonte
99eaacc9e6046db1c82b163c5f84869f,Lazio
3606774ec64634822d78dc2db6d37045,Lazio
7d456afc660226829370f3173d14520c,Lazio
0747d5bb69f0586cc869d8af4c50f93e,Piemonte
e8f6dc8e6a1dcde89d20e3995c8d90b3,Lazio
620c87c171fb2a6dd6e8bb4dec959fc6,Piemonte
b17b679f4f5ce2e03ce6968c62648246,Lazio
b17b679f4f5ce2e03ce6968c62648246,Lazio
46dc3b2cc0980fb8ec44634e21d2718e,Piemonte
391fc6631aebcf3004804e51b40bcf1e,Lazio
82bd0703a4aefd6b599e5bfdaed378fb,Lazio
897060da8b9a21f655304d50fd935913,Lazio
fa1a9dec3a9940c072684a46728bf1fc,Abruzzo
391fc6631aebcf3004804e51b40bcf1e,Lazio
